year;class;area_km2
1988;Water;919,8086298
1988;Dryland;2532,573095
1988;Mudflat;1266,799019
1988;Mangrove;584,5884379
1988;Woodland;6115,084109
1999;Water;937,0056453
1999;Dryland;2819,269387
1999;Mudflat;1078,703728
1999;Mangrove;676,7154896
1999;Woodland;5907,159041
2010;Water;932,8871005
2010;Dryland;2552,925158
2010;Mudflat;1351,787316
2010;Mangrove;691,3300938
2010;Woodland;5889,923622
2020;Water;954,9570731
2020;Dryland;3381,159744
2020;Mudflat;1385,717947
2020;Mangrove;854,3812867
2020;Woodland;4842,637239
2023;Water;980,44921
2023;Dryland;3922,283282
2023;Mudflat;1187,793108
2023;Mangrove;922,9133265
2023;Woodland;4405,414364
